ID;time;ActPass;value;Intensity
vp01;1;Passive;-18,0440983226538;High
vp01;1;Active;-29,1964180779457;High
vp01;1;Passive;-1,41784192655073;Low
vp01;1;Active;-7,51525578343309;Low
vp02;1;Passive;-7,96686163352709;High
vp02;1;Active;-5,64660390130524;High
vp02;1;Passive;-7,48528283089842;Low
vp02;1;Active;-20,4120546750575;Low
vp03;1;Passive;18,9846025746805;High
vp03;1;Active;21,2723907873631;High
vp03;1;Passive;28,7165720037641;Low
vp03;1;Active;-17,0188288521008;Low
vp04;1;Passive;-25,0987695182296;High
vp04;1;Active;-22,6686911468781;High
vp04;1;Passive;-40,1681631588936;Low
vp04;1;Active;-21,4587859427575;Low
vp06;1;Passive;-33,8635198793411;High
vp06;1;Active;-43,5690269918442;High
vp06;1;Passive;4,5461468801616;Low
vp06;1;Active;-22,7746813054908;Low
vp07;1;Passive;-7,89858042189013;High
vp07;1;Active;-6,65075580094522;High
vp07;1;Passive;-35,4683045010893;Low
vp07;1;Active;-5,05219204587489;Low
vp08;1;Passive;-4,98372044148669;High
vp08;1;Active;-5,66610969409067;High
vp08;1;Passive;-18,1008307877691;Low
vp08;1;Active;-10,6870868646585;Low
vp09;1;Passive;-12,257924301357;High
vp09;1;Active;-11,7942725465689;High
vp09;1;Passive;-5,44974922809494;Low
vp09;1;Active;-23,5034937166502;Low
vp10;1;Passive;-10,9963347974503;High
vp10;1;Active;-23,1018373116381;High
vp10;1;Passive;-9,57003679916449;Low
vp10;1;Active;-20,7119504071856;Low
vp11;1;Passive;-1,79237090512156;High
vp11;1;Active;3,53766230100949;High
vp11;1;Passive;19,4494152570087;Low
vp11;1;Active;-15,9782368077426;Low
vp12;1;Passive;-26,1367477955222;High
vp12;1;Active;-16,0923655827455;High
vp12;1;Passive;-9,6030385567639;Low
vp12;1;Active;-22,9568060127581;Low
vp13;1;Passive;-2,3369634271565;High
vp13;1;Active;-6,82196840618792;High
vp13;1;Passive;5,93903207372129;Low
vp13;1;Active;12,7366936382763;Low
vp14;1;Passive;-11,584173665219;High
vp14;1;Active;-22,3307405707827;High
vp14;1;Passive;-11,2862379213572;Low
vp14;1;Active;1,11491134305096;Low
vp15;1;Passive;-36,5114423684794;High
vp15;1;Active;-17,8289554413557;High
vp15;1;Passive;-7,52609255288891;Low
vp15;1;Active;-19,1091385073952;Low
vp16;1;Passive;-18,1202146766186;High
vp16;1;Active;-1,48404232228361;High
vp16;1;Passive;-2,40518410091009;Low
vp16;1;Active;-13,8257976823947;Low
vp17;1;Passive;-16,331503886832;High
vp17;1;Active;-28,5876436495781;High
vp17;1;Passive;-14,2147853605114;Low
vp17;1;Active;-6,52479481903091;Low
vp18;1;Passive;-1,37977985838195;High
vp18;1;Active;-9,46531877370877;High
vp18;1;Passive;-15,8269346719193;Low
vp18;1;Active;15,3268021248102;Low
vp19;1;Passive;-8,52344707082276;High
vp19;1;Active;-11,9391302063914;High
vp19;1;Passive;-0,768160359982401;Low
vp19;1;Active;-15,1550145341791;Low
vp20;1;Passive;-12,7476333741918;High
vp20;1;Active;-30,0745239715576;High
vp20;1;Passive;-13,4329869661918;Low
vp20;1;Active;-3,43825272162532;Low
vp21;1;Passive;-0,451270552982576;High
vp21;1;Active;-6,04969022985164;High
vp21;1;Passive;-18,2083694553375;Low
vp21;1;Active;-9,3185892084487;Low
vp23;1;Passive;-2,30892279884988;High
vp23;1;Active;-9,55604870297329;High
vp23;1;Passive;-8,8463949356128;Low
vp23;1;Active;-12,4918576100897;Low
