ID;time;ActPass;value;Intensity
vp01;1;Passive;-15,4252483882029;High
vp01;1;Active;-21,1277445675014;High
vp01;1;Passive;3,25750380717916;Low
vp01;1;Active;-10,8853497390905;Low
vp02;1;Passive;-6,28981098363269;High
vp02;1;Active;1,88649923864077;High
vp02;1;Passive;4,93010219745302;Low
vp02;1;Active;-6,20161172882002;Low
vp03;1;Passive;14,2459948316701;High
vp03;1;Active;15,6811632725;High
vp03;1;Passive;14,6943139489628;Low
vp03;1;Active;-3,73778310447279;Low
vp04;1;Passive;-12,7642697492852;High
vp04;1;Active;-3,99193272600882;High
vp04;1;Passive;-25,6991551442146;Low
vp04;1;Active;-22,0666249488592;Low
vp06;1;Passive;-22,5192550137192;High
vp06;1;Active;-33,2018544983864;High
vp06;1;Passive;4,28197432276676;Low
vp06;1;Active;-11,6393656377306;Low
vp07;1;Passive;-3,43419651141576;High
vp07;1;Active;-17,0590200452179;High
vp07;1;Passive;-33,6992698049545;Low
vp07;1;Active;-9,63595042782171;Low
vp08;1;Passive;-6,16082818767604;High
vp08;1;Active;-4,14143873676669;High
vp08;1;Passive;-14,5083788422234;Low
vp08;1;Active;-6,378806420204;Low
vp09;1;Passive;-8,06516067655012;High
vp09;1;Active;2,57819993047533;High
vp09;1;Passive;1,40951840286911;Low
vp09;1;Active;-6,05464170186804;Low
vp10;1;Passive;-20,1060137936948;High
vp10;1;Active;-17,2173799972311;High
vp10;1;Passive;-18,7294547823407;Low
vp10;1;Active;-14,4712100372314;Low
vp11;1;Passive;-4,2968190602269;High
vp11;1;Active;0,883742818216218;High
vp11;1;Passive;2,44178570708167;Low
vp11;1;Active;-14,8587178302286;Low
vp12;1;Passive;-19,7576509848237;High
vp12;1;Active;-12,9164073211206;High
vp12;1;Passive;-13,2459343231721;Low
vp12;1;Active;-11,253695838321;Low
vp13;1;Passive;1,6449937271704;High
vp13;1;Active;-1,19451600777544;High
vp13;1;Passive;-0,862579296299606;Low
vp13;1;Active;13,9683597462326;Low
vp14;1;Passive;-16,9081813923973;High
vp14;1;Active;-24,3336737546921;High
vp14;1;Passive;-1,93790768982467;Low
vp14;1;Active;-8,76045284389146;Low
vp15;1;Passive;-18,5658786229184;High
vp15;1;Active;-13,0108251070231;High
vp15;1;Passive;-5,73820012253558;Low
vp15;1;Active;-4,66557330207527;Low
vp16;1;Passive;-8,18853502455394;High
vp16;1;Active;5,40909359141474;High
vp16;1;Passive;2,03654640909377;Low
vp16;1;Active;-8,28025900829071;Low
vp17;1;Passive;-11,871768815333;High
vp17;1;Active;-31,4676500711441;High
vp17;1;Passive;-13,0428414876332;Low
vp17;1;Active;3,45459276279714;Low
vp18;1;Passive;0,195158462644336;High
vp18;1;Active;-3,88951095207594;High
vp18;1;Passive;-9,95476990997605;Low
vp18;1;Active;6,29545868851617;Low
vp19;1;Passive;-5,57534596353746;High
vp19;1;Active;-7,18141117071081;High
vp19;1;Passive;-2,18998988099396;Low
vp19;1;Active;-15,5539551254832;Low
vp20;1;Passive;-10,7582529458567;High
vp20;1;Active;-12,3452353012227;High
vp20;1;Passive;-7,7130275124833;Low
vp20;1;Active;-6,77104500257433;Low
vp21;1;Passive;2,32784310670962;High
vp21;1;Active;-4,4811648612243;High
vp21;1;Passive;-14,7061028251488;Low
vp21;1;Active;-13,3410691941394;Low
vp23;1;Passive;2,16959657633131;High
vp23;1;Active;-9,75790922259178;High
vp23;1;Passive;1,11191239924263;Low
vp23;1;Active;-3,18677678390034;Low
vp24;1;Passive;-2,30993135954719;High
vp24;1;Active;-2,21461752546212;High
vp24;1;Passive;-0,99875574757345;Low
vp24;1;Active;-5,8593418878261;Low
vp25;1;Passive;6,97340627849218;High
vp25;1;Active;-4,63269335207588;High
vp25;1;Passive;5,05014572956739;Low
vp25;1;Active;8,4576559798508;Low
vp26;1;Passive;-16,0065859006923;High
vp26;1;Active;-12,9911819857294;High
vp26;1;Passive;-15,0680010965066;Low
vp26;1;Active;-16,2676559676719;Low
vp27;1;Passive;15,0617029136261;High
vp27;1;Active;-12,4579115894027;High
vp27;1;Passive;8,69094668198377;Low
vp27;1;Active;-1,09772308168732;Low
vp28;1;Passive;-4,97618777646314;High
vp28;1;Active;-22,9735281424522;High
vp28;1;Passive;-15,6752997820135;Low
vp28;1;Active;-20,1455886611952;Low
vp29;1;Passive;-3,01326906554494;High
vp29;1;Active;0,566839806642383;High
vp29;1;Passive;-7,39861402750248;Low
vp29;1;Active;-23,2101844804287;Low
vp31;1;Passive;-2,33578538249066;High
vp31;1;Active;-11,2008856146298;High
vp31;1;Passive;-8,04278109046537;Low
vp31;1;Active;-13,1299396826625;Low
vp32;1;Passive;-16,3563670188035;High
vp32;1;Active;4,09029652283387;High
vp32;1;Passive;-6,5898609865997;Low
vp32;1;Active;-2,10406987779238;Low
vp33;1;Passive;-0,331851696726051;High
vp33;1;Active;-12,4143086114274;High
vp33;1;Passive;15,7737029140689;Low
vp33;1;Active;4,64654359328654;Low
vp34;1;Passive;5,75217719161755;High
vp34;1;Active;-11,7746723737677;High
vp34;1;Passive;-8,09970225169882;Low
vp34;1;Active;-1,49040309062321;Low
vp35;1;Passive;2,33047199625522;High
vp35;1;Active;6,42554624311626;High
vp35;1;Passive;-2,62747191131941;Low
vp35;1;Active;6,79702646774799;Low
vp36;1;Passive;7,10916906905733;High
vp36;1;Active;2,66351136159548;High
vp36;1;Passive;-0,201492832513992;Low
