ID;time;ActPass;value;Intensity
vp01;1;Passive;-11,5273250112141;High
vp01;1;Active;-10,3672296409678;High
vp01;1;Passive;-10,8627154204508;Low
vp01;1;Active;3,89519301185012;Low
vp02;1;Passive;-7,74371205256163;High
vp02;1;Active;-31,8605483989716;High
vp02;1;Passive;-7,63599941088282;Low
vp02;1;Active;-33,3380741224289;Low
vp03;1;Passive;10,2645365834981;High
vp03;1;Active;5,95593180282705;High
vp03;1;Passive;0,605332410550676;Low
vp03;1;Active;-15,6482217248436;Low
vp04;1;Passive;-22,5148153703073;High
vp04;1;Active;-19,0546618009992;High
vp04;1;Passive;-23,8787826518631;Low
vp04;1;Active;-13,4335214964375;Low
vp06;1;Passive;-18,2264664188088;High
vp06;1;Active;-24,073470345974;High
vp06;1;Passive;17,2103745432831;Low
vp06;1;Active;-3,92027092217607;Low
vp07;1;Passive;-5,22876006786036;High
vp07;1;Active;10,0274524052553;High
vp07;1;Passive;-8,40352026436542;Low
vp07;1;Active;4,41090855234087;Low
vp08;1;Passive;-11,658138394827;High
vp08;1;Active;-5,3506290628736;High
vp08;1;Passive;-18,9320685116304;Low
vp08;1;Active;-6,49545468589576;Low
vp09;1;Passive;-11,3586590237485;High
vp09;1;Active;-12,980782556117;High
vp09;1;Passive;-5,04655238071829;Low
vp09;1;Active;-26,8454040585756;Low
vp10;1;Passive;-5,61983715788714;High
vp10;1;Active;-16,5895895042587;High
vp10;1;Passive;10,1698637808081;Low
vp10;1;Active;-26,149210226759;Low
vp11;1;Passive;-8,55144226327911;High
vp11;1;Active;3,77742836746003;High
vp11;1;Passive;28,0857853151746;Low
vp11;1;Active;-14,9912504226658;Low
vp12;1;Passive;-21,1630123019218;High
vp12;1;Active;-4,59901031658798;High
vp12;1;Passive;-4,37529276490957;Low
vp12;1;Active;-11,9933939140281;Low
vp13;1;Passive;-7,73103389645461;High
vp13;1;Active;7,32102497860394;High
vp13;1;Passive;-0,731613106353332;Low
vp13;1;Active;6,15488746730878;Low
vp14;1;Passive;-1,50885253502487;High
vp14;1;Active;-8,7990404796903;High
vp14;1;Passive;18,154168011317;Low
vp14;1;Active;-3,9167657666977;Low
vp15;1;Passive;-29,991538902998;High
vp15;1;Active;0,88450827285205;High
vp15;1;Passive;-18,59051125741;Low
vp15;1;Active;-6,79265462071891;Low
vp16;1;Passive;-21,7745776450634;High
vp16;1;Active;7,49527950819395;High
vp16;1;Passive;-8,22683945311746;Low
vp16;1;Active;-2,61784558958036;Low
vp17;1;Passive;-4,46723624718748;High
vp17;1;Active;-17,2961537311948;High
vp17;1;Passive;-14,6106174889444;Low
vp17;1;Active;-11,2642552962559;Low
vp18;1;Passive;1,46401142879075;High
vp18;1;Active;-4,7573544667823;High
vp18;1;Passive;-1,56771982073993;Low
vp18;1;Active;7,22701330167858;Low
vp19;1;Passive;15,1531001818255;High
vp19;1;Active;7,08970368988626;High
vp19;1;Passive;11,6014871951654;Low
vp19;1;Active;-7,33717500194116;Low
vp20;1;Passive;-8,26363351626554;High
vp20;1;Active;-27,2334732009992;High
vp20;1;Passive;-11,0282185079017;Low
vp20;1;Active;-8,02390824385756;Low
vp21;1;Passive;-6,93334132933826;High
vp21;1;Active;9,55270923771925;High
vp21;1;Passive;2,82763067719634;Low
vp21;1;Active;-3,17918930640817;Low
vp23;1;Passive;-10,8092603733344;High
vp23;1;Active;-5,90241836385429;High
vp23;1;Passive;-26,7644349474907;Low
vp23;1;Active;4,57271881931834;Low
vp24;1;Passive;4,1818445345147;High
vp24;1;Active;1,00707884422271;High
vp24;1;Passive;-3,70186228280049;Low
vp24;1;Active;-10,2516326618153;Low
vp25;1;Passive;0,983270582023542;High
vp25;1;Active;-3,6972441499352;High
vp25;1;Passive;2,52009391533304;Low
vp25;1;Active;-11,35770396931;Low
vp26;1;Passive;-27,4398668738119;High
vp26;1;Active;-24,4139782667393;High
vp26;1;Passive;-21,8059642228447;Low
vp26;1;Active;-28,5427199244499;Low
vp27;1;Passive;8,45355603859667;High
vp27;1;Active;-12,0659020126695;High
vp27;1;Passive;9,86243099573343;Low
vp27;1;Active;4,60024855737342;Low
vp28;1;Passive;-23,4964496033788;High
vp28;1;Active;-32,4694436354935;High
vp28;1;Passive;-17,4730906053111;Low
vp28;1;Active;-26,0137543215752;Low
vp29;1;Passive;-2,36655575373268;High
vp29;1;Active;-5,65344371667551;High
vp29;1;Passive;-22,1281073385607;Low
vp29;1;Active;-18,9062308083074;Low
vp31;1;Passive;3,72531850124965;High
vp31;1;Active;-2,68796318029636;High
vp31;1;Passive;11,6447690120139;Low
vp31;1;Active;-0,0171837373557501;Low
vp32;1;Passive;-30,314095331192;High
vp32;1;Active;9,08199666442373;High
vp32;1;Passive;9,46807425682433;Low
vp32;1;Active;-11,1279938998222;Low
vp33;1;Passive;15,0945428837915;High
vp33;1;Active;-4,11979016222525;High
vp33;1;Passive;15,7284690372453;Low
vp33;1;Active;8,12400817054184;Low
vp34;1;Passive;-11,5368554565758;High
vp34;1;Active;-7,51506252211728;High
vp34;1;Passive;-1,7883825283004;Low
vp34;1;Active;8,40295885052625;Low
vp35;1;Passive;2,32978346590057;High
vp35;1;Active;-10,0352939265794;High
vp35;1;Passive;-12,5722121735187;Low
vp35;1;Active;3,04611928301677;Low
vp36;1;Passive;3,62984339981113;High
vp36;1;Active;-19,0814599730536;High
vp36;1;Passive;-12,194784842765;Low
vp36;1;Active;-4,29840171137045;Low
vp37;1;Passive;1,3003911138688;High
vp37;1;Active;-7,46266911792965;High
vp37;1;Passive;-14,2049607974505;Low
vp37;1;Active;-13,208861161232;Low
vp38;1;Passive;-10,7194648511652;High
vp38;1;Active;-12,2292474747847;High
vp38;1;Passive;-11,0900126008918;Low
vp38;1;Active;-14,2378152326234;Low
vp39;1;Passive;-26,0472063422203;High
vp39;1;Active;-15,8485335538622;High
vp39;1;Passive;-15,5332125567794;Low
vp39;1;Active;-5,54923396711471;Low
vp40;1;Passive;-10,6329253674811;High
vp40;1;Active;0,462499220091617;High
vp40;1;Passive;17,0351835250091;Low
vp40;1;Active;4,94769654041667;Low
vp41;1;Passive;-22,8523053842783;High
vp41;1;Active;-5,18178241951831;High
vp41;1;Passive;-3,16794423394836;Low
vp41;1;Active;-17,4607141078454;Low
vp42;1;Passive;-14,6862463109994;High
vp42;1;Active;-11,6621373340343;High
vp42;1;Passive;-2,27704086905951;Low
vp42;1;Active;-22,1041311342985;Low
vp43;1;Passive;3,2460336063276;High
vp43;1;Active;-8,48889808513271;High
vp43;1;Passive;-0,673426968681568;Low
vp43;1;Active;10,3811404173557;Low
vp44;1;Passive;-17,5581994630485;High
vp44;1;Active;-15,1148420325955;High
vp44;1;Passive;-15,7764575435749;Low
vp44;1;Active;-9,66571928938781;Low
vp45;1;Passive;-5,83011522483139;High
vp45;1;Active;-23,1004387346506;High
vp45;1;Passive;-6,03393521411996;Low
vp45;1;Active;-37,8599139690399;Low
vp46;1;Passive;-1,87470587368667;High
vp46;1;Active;3,44553072379576;High
vp46;1;Passive;-9,38443349859444;Low
vp46;1;Active;-2,79456468474958;Low
vp47;1;Passive;-28,6135241652727;High
vp47;1;Active;-23,4272321635969;High
vp47;1;Passive;-28,7436779065803;Low
vp47;1;Active;-21,303246548826;Low
vp48;1;Passive;-20,9870332656167;High
vp48;1;Active;-3,46730878967769;High
vp48;1;Passive;-0,55343164280639;Low
vp48;1;Active;-10,5890601178501;Low
vp49;1;Passive;-16,9889521664744;High
vp49;1;Active;8,11706527146837;High
vp49;1;Passive;-0,0171190513421316;Low
vp49;1;Active;-23,4604803344943;Low
vp50;1;Passive;1,63896991546382;High
vp50;1;Active;-15,4306053600968;High
vp50;1;Passive;-24,7532222899236;Low
vp50;1;Active;-10,580313096934;Low
vp52;1;Passive;-6,7259170955086;High
vp52;1;Active;2,01416991641268;High
vp52;1;Passive;-16,9956807160378;Low
vp52;1;Active;-2,71435986330104;Low
vp01;2;Passive;-8,93153067190945;High
vp01;2;Active;-8,70512917673588;High
vp01;2;Passive;2,37446518836978;Low
vp01;2;Active;8,686725417312;Low
vp02;2;Passive;-43,5442345867157;High
vp02;2;Active;-42,8960160570145;High
vp02;2;Passive;-20,0862799661942;Low
vp02;2;Active;-49,2093911027908;Low
vp03;2;Passive;0,407232497389661;High
vp03;2;Active;-6,83714490686543;High
vp03;2;Passive;6,28277303327387;Low
vp03;2;Active;-18,5173310509622;Low
vp04;2;Passive;-30,1231684603691;High
vp04;2;Active;-35,186444732666;High
vp04;2;Passive;-39,2307985963821;Low
vp04;2;Active;-29,7455041356087;Low
vp06;2;Passive;-17,6413168881708;High
vp06;2;Active;-43,0638059511185;High
vp06;2;Passive;1,42250378907658;Low
vp06;2;Active;-24,150859402738;Low
vp07;2;Passive;-7,80298133291426;High
vp07;2;Active;-29,5199381546974;High
vp07;2;Passive;-26,619020596981;Low
vp07;2;Active;-17,2028108171653;Low
vp08;2;Passive;-33,3497224872112;High
vp08;2;Active;-26,3247504629316;High
vp08;2;Passive;-36,2406175737381;Low
vp08;2;Active;-12,5804464157;Low
vp09;2;Passive;-29,5028008100986;High
vp09;2;Active;-25,3398312130552;High
vp09;2;Passive;-21,076620887369;Low
vp09;2;Active;-47,0723057479858;Low
vp10;2;Passive;-45,412821808815;High
vp10;2;Active;-48,5086719341278;High
vp10;2;Passive;-27,7097801121771;Low
vp10;2;Active;-46,5412581167221;Low
vp11;2;Passive;0,911562265095767;High
vp11;2;Active;-6,83191872726733;High
vp11;2;Passive;29,3571475810455;Low
vp11;2;Active;-14,9178582720757;Low
vp12;2;Passive;-29,850413506031;High
vp12;2;Active;-7,37246385285468;High
vp12;2;Passive;-15,8810917509794;Low
vp12;2;Active;-16,9804693347197;Low
vp13;2;Passive;-12,5074321968257;High
vp13;2;Active;-11,8182578352485;High
vp13;2;Passive;-1,30754251004278;Low
vp13;2;Active;-14,4777491398402;Low
vp14;2;Passive;-14,018518864763;High
vp14;2;Active;-22,7234539362751;High
vp14;2;Passive;5,83869449663791;Low
vp14;2;Active;-2,54473952843016;Low
vp15;2;Passive;-45,6514389019012;High
vp15;2;Active;-36,0690750994682;High
vp15;2;Passive;-32,3312092208862;Low
vp15;2;Active;-34,6946585168838;Low
vp16;2;Passive;-37,7939267368317;High
vp16;2;Active;-25,9880051443428;High
vp16;2;Passive;-27,1526227531433;Low
vp16;2;Active;-20,9789494848438;Low
vp17;2;Passive;-6,58024872919126;High
vp17;2;Active;-24,687274014473;High
vp17;2;Passive;-16,988168020105;Low
vp17;2;Active;-9,81309516027849;Low
vp18;2;Passive;-1,48095104838209;High
vp18;2;Active;-23,5189420080185;High
vp18;2;Passive;-15,8173129421787;Low
vp18;2;Active;-14,7743296610699;Low
vp19;2;Passive;-6,42814202367468;High
vp19;2;Active;-23,172550859279;High
vp19;2;Passive;-9,8691276396662;Low
vp19;2;Active;-18,6304919862747;Low
vp20;2;Passive;-19,7422779250145;High
vp20;2;Active;-22,2557331852913;High
vp20;2;Passive;-20,9153762254715;Low
vp20;2;Active;-30,4939853858948;Low
vp21;2;Passive;-10,6621289019054;High
vp21;2;Active;5,76620380628295;High
vp21;2;Passive;-11,6137869033432;Low
vp21;2;Active;-3,25082706277096;Low
vp23;2;Passive;-21,0175284376703;High
vp23;2;Active;-4,74927988229506;High
vp23;2;Passive;-32,5572559165955;Low
vp23;2;Active;-0,540041360642994;Low
vp24;2;Passive;-21,7213062562943;High
vp24;2;Active;-20,3714664521404;High
vp24;2;Passive;-9,48205717692198;Low
vp24;2;Active;-16,6359972267151;Low
vp25;2;Passive;-0,200228843304882;High
vp25;2;Active;-8,6797190279325;High
vp25;2;Passive;-5,74278044539629;Low
vp25;2;Active;6,79176263335533;Low
vp26;2;Passive;-53,9571978034973;High
vp26;2;Active;-57,6383282661438;High
vp26;2;Passive;-47,4329699621201;Low
vp26;2;Active;-52,6831949996948;Low
vp27;2;Passive;-16,5367376659808;High
vp27;2;Active;-29,7209991800247;High
vp27;2;Passive;-9,9607821179193;Low
vp27;2;Active;-24,3329811938894;Low
vp28;2;Passive;-38,3533970832825;High
vp28;2;Active;-43,0172095394135;High
vp28;2;Passive;-18,6923054530621;Low
vp28;2;Active;-31,0373947854042;Low
vp29;2;Passive;-2,98815417862441;High
vp29;2;Active;26,9485770566296;High
vp29;2;Passive;-14,55970215572;Low
vp29;2;Active;-18,7749432762079;Low
vp31;2;Passive;-9,77369612928107;High
vp31;2;Active;-9,69291421780689;High
vp31;2;Passive;0,378892857420957;Low
